country_id,country_name,population
1,Argentina,45808747
2,Australia,25688079
3,Austria,8955797
4,Bangladesh,169356251
5,Belarus,9340314
6,Belgium,11592952
7,Brazil,214326223
8,Bulgaria,6877743
9,Canada,38246108
10,Chile,19493184
11,China,1412360000
12,Colombia,51516562
13,Croatia,3899000
14,Cyprus,1244188
15,Czech Republic,1244188
16,Denmark,5856733
17,Egypt,17797737
18,Estonia,1330932
19,Finland,5541017
20,France,67749632
21,Germany,83196078
22,Ghana,32833031
23,Greece,10641221
24,Hong Kong,10278345
25,Hungary,9709891
26,Iceland,372520
27,India,1407563842
28,Indonesia,273753191
29,Iran,273753191
30,Ireland,5033165
31,Israel,9364000
32,Italy,59109668
33,Japan,125681593
34,Jordan,11148278
35,Kenya,53005614
36,Latvia,1884490
37,Lebanon,5592631
38,Lithuania,2800839
39,Luxembourg,640064
40,Macau,686607
41,Malaysia,33573874
42,Mexico,126705138
43,Morocco,37076584
44,Netherlands,17533044
45,New Zealand,5122600
46,Nigeria,213401323
47,Norway,5408320
48,Oman,4520471
49,Pakistan,231402117
50,Poland,37747124
51,Portugal,10325147
52,Puerto Rico,3263584
53,Qatar,2688235
54,Romania,19119880
55,Russia,19119880
56,Saudi Arabia,35950396
57,Serbia,6834326
58,Singapore,5453566
59,Slovakia,5447247
60,Slovenia,2108079
61,South Africa,59392255
62,South Korea,1901911604
63,Spain,47415750
64,Sweden,10415811
65,Switzerland,8703405
66,Taiwan,21324367
67,Thailand,85416069405
68,Turkey,12262946
69,Uganda,45853778
70,Ukraine,43792855
71,United Arab Emirates,9365145
72,United Kingdom,67326569
73,United States of America,331893745
74,Uruguay,3426260
