ranking_criteria_id,ranking_system_id,criteria_name,weights,,,,,,,,,,,
1,1,Teaching,0.15,,,,,,,,,,,
2,1,International,0.10,,,,,,,,,,,
3,1,Research,0.15,,,,,,,,,,,
4,1,Citations,0.20,,,,,,,,,,,
5,1,Income,0.10,,,,,,,,,,,
6,1,Total Times,0.30,,,,,,,,,,,
7,2,Alumni,0.15,,,,,,,,,,,
8,2,Award,0.10,,,,,,,,,,,
9,2,HiCi,0.20,,,,,,,,,,,
10,2,N and S,0.10,,,,,,,,,,,
11,2,Pub,0.15,,,,,,,,,,,
12,2,PCP,0.10,,,,,,,,,,,
13,2,Total Shanghai,0.20,,,,,,,,,,,
14,3,Quality of Education Rank,0.10,,,,,,,,,,,
15,3,Alumni Employment Rank,0.15,,,,,,,,,,,
16,3,Quality of Faculty Rank,0.15,,,,,,,,,,,
17,3,Publications Rank,0.15,,,,,,,,,,,
18,3,Influence Rank,0.10,,,,,,,,,,,
19,3,Citations Rank,0.15,,,,,,,,,,,
20,3,Patents Rank,0.10,,,,,,,,,,,
21,3,Total CWUR,0.10,,,,,,,,,,,
